1701583
77.29

2020/02/24		1		1		0		0
2020/02/25		22		23		0		0
2020/02/26		10		33		0		0
2020/02/27		0		33		0		0
2020/02/28		3		36		0		0
2020/02/29		5		41		0		0
2020/03/01		6		47		0		0
2020/03/02		2		49		0		0
2020/03/03		0		49		0		0
2020/03/04		3		52		0		0
2020/03/05		3		55		0		0
2020/03/06		5		60		0		0
2020/03/07		25		85		0		0
2020/03/08		0		85		0		0
2020/03/09		10		95		0		0
2020/03/10		15		110		0		0
2020/03/11		85		195		0		0
2020/03/12		0		195		0		0
2020/03/13		0		195		0		0
2020/03/14		15		210		0		0
2020/03/15		4		214		0		0
2020/03/16		0		214		1		1
2020/03/17		14		228		0		1
2020/03/18		28		256		0		1
2020/03/19		22		278		0		1
2020/03/20		7		285		0		1
2020/03/21		20		305		0		1
2020/03/22		29		334		1		2
2020/03/23		43		377		0		2
2020/03/24		15		392		1		3
2020/03/25		27		419		1		4
2020/03/26		39		458		0		4
2020/03/27		8		466		0		4
2020/03/28		10		476		0		4
2020/03/29		23		499		0		4
2020/03/30		16		515		0		4
2020/03/31		52		567		0		4
2020/04/01		2		569		0		4
2020/04/02		74		643		0		4
2020/04/03		29		672		0		4
2020/04/04		16		688		0		4
2020/04/05		12		700		0		4
2020/04/06		56		756		0		4
2020/04/07		55		811		1		5
2020/04/08		12		823		0		5
2020/04/09		64		887		0		5
2020/04/10		38		925		1		6
2020/04/11		115		1040		0		6
2020/04/12		96		1136		0		6
2020/04/13		225		1361		0		6
2020/04/14		167		1528		1		7
2020/04/15		143		1671		0		7
2020/04/16		29		1700		0		7
2020/04/17		40		1740		0		7
2020/04/18		33		1773		0		7
2020/04/19		108		1881		0		7
2020/04/20		26		1907		0		7
2020/04/21		66		1973		0		7
2020/04/22		54		2027		0		7
2020/04/23		190		2217		1		8
2020/04/24		301		2518		0		8
2020/04/25		70		2588		0		8
2020/04/26		59		2647		0		8
2020/04/27		76		2723		0		8
2020/04/28		88		2811		0		8
