2020-06-28	490	7	206139587	54.69																																																						
2020-06-29	566	8	206139587	54.69																																																						
2020-06-30	561	17	206139587	54.69																																																						
2020-07-01	790	13	206139587	54.69																																																						
2020-07-02	626	13	206139587	54.69																																																						
2020-07-03	454	12	206139587	54.69																																																						
2020-07-04	603	6	206139587	54.69																																																						
2020-07-05	544	11	206139587	54.69																																																						
2020-07-06	575	9	206139587	54.69																																																						
2020-07-07	503	15	206139587	54.69																																																						
2020-07-08	460	15	206139587	54.69																																																						
2020-07-09	499	5	206139587	54.69																																																						
2020-07-10	575	20	206139587	54.69																																																						
2020-07-11	664	15	206139587	54.69																																																						
2020-07-12	571	16	206139587	54.69																																																						
2020-07-13	595	4	206139587	54.69																																																						
2020-07-14	463	10	206139587	54.69																																																						
2020-07-15	643	6	206139587	54.69																																																						
2020-07-16	595	9	206139587	54.69																																																						
2020-07-17	600	3	206139587	54.69																																																						
2020-07-18	653	6	206139587	54.69																																																						
2020-07-19	556	11	206139587	54.69																																																						
2020-07-20	562	12	206139587	54.69																																																						
2020-07-21	576	4	206139587	54.69																																																						
2020-07-22	543	8	206139587	54.69																																																						
2020-07-23	604	20	206139587	54.69																																																						
2020-07-24	591	12	206139587	54.69																																																						
2020-07-25	438	11	206139587	54.69																																																						
2020-07-26	555	2	206139587	54.69																																																						
2020-07-27	648	2	206139587	54.69																																																						
2020-07-28	624	8	206139587	54.69																																																						
2020-07-29	404	5	206139587	54.69																																																						
2020-07-30	481	5	206139587	54.69																																																						
2020-07-31	462	1	206139587	54.69																																																						
2020-08-01	386	4	206139587	54.69																																																						
2020-08-02	304	5	206139587	54.69																																																						
2020-08-03	288	8	206139587	54.69																																																						
2020-08-04	304	14	206139587	54.69																																																						
2020-08-05	457	17	206139587	54.69																																																						
2020-08-06	354	3	206139587	54.69																																																						
2020-08-07	443	6	206139587	54.69																																																						
2020-08-08	453	6	206139587	54.69																																																						
2020-08-09	437	3	206139587	54.69																																																						
2020-08-10	290	5	206139587	54.69																																																						
2020-08-11	423	6	206139587	54.69																																																						
2020-08-12	453	0	206139587	54.69																																																						
2020-08-13	373	10	206139587	54.69																																																						
2020-08-14	329	7	206139587	54.69																																																						
2020-08-15	325	1	206139587	54.69																																																						
2020-08-16	298	1	206139587	54.69																																																						
2020-08-17	417	2	206139587	54.69																																																						
2020-08-18	410	4	206139587	54.69																																																						
2020-08-19	593	4	206139587	54.69																																																						
2020-08-20	476	7	206139587	54.69																																																						
2020-08-21	340	4	206139587	54.69																																																						
2020-08-22	601	1	206139587	54.69																																																						
2020-08-23	322	5	206139587	54.69																																																						
2020-08-24	321	2	206139587	54.69																																																						
2020-08-25	252	3	206139587	54.69																																																						
2020-08-26	221	3	206139587	54.69																																																						
2020-08-27	296	1	206139587	54.69																																																						
2020-08-28	160	0	206139587	54.69																																																						
2020-08-29	250	0	206139587	54.69																																																						
2020-08-30	138	2	206139587	54.69																																																						
2020-08-31	143	0	206139587	54.69																																																						
2020-09-01	239	10	206139587	54.69																																																						
2020-09-02	216	4	206139587	54.69																																																						
2020-09-03	125	21	206139587	54.69																																																						
2020-09-04	155	3	206139587	54.69																																																						
2020-09-05	162	3	206139587	54.69																																																						
2020-09-06	100	3	206139587	54.69																																																						
2020-09-07	155	4	206139587	54.69																																																						
2020-09-08	296	6	206139587	54.69																																																						
2020-09-09	176	3	206139587	54.69																																																						
2020-09-10	197	5	206139587	54.69																																																						
2020-09-11	188	1	206139587	54.69																																																						
2020-09-12	160	2	206139587	54.69																																																						
2020-09-13	79	4	206139587	54.69																																																						
2020-09-14	132	1	206139587	54.69																																																						
2020-09-15	90	5	206139587	54.69																																																						
2020-09-16	126	3	206139587	54.69																																																						
2020-09-17	131	2	206139587	54.69																																																						
2020-09-18	221	1	206139587	54.69																																																						
2020-09-19	189	1	206139587	54.69																																																						
2020-09-20	97	3	206139587	54.69																																																						
2020-09-21	195	2	206139587	54.69																																																						
2020-09-22	176	0	206139587	54.69																																																						
2020-09-23	111	2	206139587	54.69																																																						
2020-09-24	125	0	206139587	54.69																																																						
2020-09-25	213	1	206139587	54.69																																																						
2020-09-26	136	3	206139587	54.69																																																						
2020-09-27	126	2	206139587	54.69																																																						
2020-09-28	136	3	206139587	54.69																																																						
2020-09-29	187	0	206139587	54.69																																																						
2020-09-30	201	1	206139587	54.69																																																						
2020-10-01	153	0	206139587	54.69																																																						
2020-10-02	126	0	206139587	54.69																																																						
2020-10-03	160	1	206139587	54.69																																																						
2020-10-04	58	0	206139587	54.69																																																						
2020-10-05	120	0	206139587	54.69																																																						
2020-10-06	118	0	206139587	54.69																																																						
2020-10-07	155	0	206139587	54.69																																																						
2020-10-08	103	0	206139587	54.69																																																						
2020-10-09	151	0	206139587	54.69																																																						
2020-10-10	111	2	206139587	54.69																																																						
2020-10-11	163	0	206139587	54.69																																																						
2020-10-12	164	0	206139587	54.69																																																						
2020-10-13	225	1	206139587	54.69																																																						
2020-10-14	179	0	206139587	54.69																																																						
2020-10-15	148	0	206139587	54.69																																																						
2020-10-16	212	3	206139587	54.69																																																						
2020-10-17	113	4	206139587	54.69																																																						
2020-10-18	133	2	206139587	54.69																																																						
2020-10-19	118	0	206139587	54.69																																																						
2020-10-20	72	0	206139587	54.69																																																						
2020-10-21	37	0	206139587	54.69																																																						
2020-10-22	138	2	206139587	54.69																																																						
2020-10-23	77	2	206139587	54.69																																																						
2020-10-24	48	0	206139587	54.69																																																						
2020-10-25	62	1	206139587	54.69																																																						
2020-10-26	119	2	206139587	54.69																																																						
2020-10-27	113	3	206139587	54.69																																																						
2020-10-28	147	4	206139587	54.69																																																						
2020-10-29	150	2	206139587	54.69																																																						
2020-10-30	170	3	206139587	54.69																																																						
2020-10-31	162	0	206139587	54.69																																																						
2020-11-01	111	2	206139587	54.69																																																						
2020-11-02	72	1	206139587	54.69																																																						
2020-11-03	137	4	206139587	54.69																																																						
2020-11-04	155	4	206139587	54.69																																																						
2020-11-05	180	0	206139587	54.69																																																						
2020-11-06	223	0	206139587	54.69																																																						
2020-11-07	59	0	206139587	54.69																																																						
2020-11-08	300	-1	206139587	54.69																																																						
2020-11-09	94	4	206139587	54.69																																																						
2020-11-10	152	2	206139587	54.69																																																						
2020-11-11	180	2	206139587	54.69																																																						
2020-11-12	212	0	206139587	54.69																																																						
2020-11-13	156	1	206139587	54.69																																																						
2020-11-14	112	0	206139587	54.69																																																						
2020-11-15	152	0	206139587	54.69																																																						
2020-11-16	157	0	206139587	54.69																																																						
2020-11-17	152	0	206139587	54.69																																																						
2020-11-18	236	0	206139587	54.69																																																						
2020-11-19	146	2	206139587	54.69																																																						
2020-11-20	143	0	206139587	54.69																																																						
2020-11-21	246	1	206139587	54.69																																																						
2020-11-22	155	1	206139587	54.69																																																						
2020-11-23	56	1	206139587	54.69																																																						
2020-11-24	168	1	206139587	54.69																																																						
2020-11-25	198	0	206139587	54.69																																																						
2020-11-26	169	0	206139587	54.69																																																						
2020-11-27	246	2	206139587	54.69																																																						
2020-11-28	110	0	206139587	54.69																																																						
2020-11-29	82	2	206139587	54.69																																																						
2020-11-30	145	0	206139587	54.69																																																						
2020-12-01	281	3	206139587	54.69																																																						
2020-12-02	122	1	206139587	54.69																																																						
2020-12-03	343	2	206139587	54.69																																																						
2020-12-04	324	0	206139587	54.69																																																						
2020-12-05	310	1	206139587	54.69																																																						
2020-12-06	318	0	206139587	54.69																																																						
2020-12-07	390	1	206139587	54.69																																																						
2020-12-08	550	1	206139587	54.69																																																						
2020-12-09	474	2	206139587	54.69																																																						
2020-12-10	675	6	206139587	54.69																																																						
2020-12-11	796	0	206139587	54.69																																																						
2020-12-12	617	4	206139587	54.69																																																						
2020-12-13	418	3	206139587	54.69																																																						
2020-12-14	199	0	206139587	54.69																																																						
2020-12-15	758	3	206139587	54.69																																																						
2020-12-16	930	0	206139587	54.69																																																						
2020-12-17	1145	1	206139587	54.69																																																						
2020-12-18	806	11	206139587	54.69																																																						
2020-12-19	920	6	206139587	54.69																																																						
2020-12-20	501	3	206139587	54.69																																																						
2020-12-21	356	6	206139587	54.69																																																						
2020-12-22	999	4	206139587	54.69																																																						
2020-12-23	1133	5	206139587	54.69																																																						
2020-12-24	1041	6	206139587	54.69																																																						
2020-12-25	784	4	206139587	54.69																																																						
2020-12-26	829	1	206139587	54.69																																																						
2020-12-27	838	7	206139587	54.69																																																						
2020-12-28	397	10	206139587	54.69																																																						
2020-12-29	749	3	206139587	54.69																																																						
2020-12-30	1016	11	206139587	54.69																																																						
2020-12-31	1031	11	206139587	54.69																																																						
2021-01-01	980	5	206139587	54.69																																																						
2021-01-02	576	8	206139587	54.69																																																						
2021-01-03	917	9	206139587	54.69																																																						
2021-01-04	1271	7	206139587	54.69																																																						
2021-01-05	1354	1	206139587	54.69																																																						
2021-01-06	1664	5	206139587	54.69																																																						
2021-01-07	1565	6	206139587	54.69																																																						
2021-01-08	1544	12	206139587	54.69																																																						
2021-01-09	1585	8	206139587	54.69																																																						
2021-01-10	1024	8	206139587	54.69																																																						
2021-01-11	1244	3	206139587	54.69																																																						
2021-01-12	1270	12	206139587	54.69																																																						
2021-01-13	1398	9	206139587	54.69																																																						
2021-01-14	1479	23	206139587	54.69																																																						
2021-01-15	1867	8	206139587	54.69																																																						
2021-01-16	1598	7	206139587	54.69																																																						
2021-01-17	1444	15	206139587	54.69																																																						
2021-01-18	1617	14	206139587	54.69																																																						
2021-01-19	1301	15	206139587	54.69																																																						
2021-01-20	1386	14	206139587	54.69																																																						
2021-01-21	1964	7	206139587	54.69																																																						
2021-01-22	1483	5	206139587	54.69																																																						
2021-01-23	2464	12	206139587	54.69																																																						
2021-01-24	964	2	206139587	54.69																																																						
2021-01-25	1430	3	206139587	54.69																																																						
2021-01-26	1303	15	206139587	54.69																																																						
2021-01-27	1861	21	206139587	54.69																																																						
2021-01-28	864	4	206139587	54.69																																																						
2021-01-29	1650	30	206139587	54.69																																																						
2021-01-30	1883	1	206139587	54.69																																																						
